,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"368","25.368","39.225","51.216","54.640","41.803","48.089","55.921","53.756"
"369","25.379","39.229","51.220","54.659","41.810","48.097","55.932","53.767"
"370","25.372","39.251","51.242","54.677","41.822","48.112","55.958","53.779"
"371","25.377","39.270","51.261","54.689","41.844","48.124","55.973","53.805"
"372","25.407","39.289","51.280","54.711","41.867","48.153","55.988","53.823"
"373","25.433","39.319","51.302","54.740","41.893","48.176","56.018","53.853"
"374","25.437","39.334","51.328","54.763","41.919","48.198","56.033","53.868"
"375","25.460","39.349","51.343","54.771","41.927","48.213","56.051","53.887"
"376","25.498","39.401","51.387","54.811","41.971","48.262","56.100","53.931"
"377","25.503","39.420","51.410","54.837","41.990","48.273","56.118","53.950"
"378","25.518","39.439","51.425","54.852","42.012","48.296","56.137","53.965"
"379","25.522","39.451","51.440","54.882","42.028","48.307","56.148","53.976"
"380","25.541","39.481","51.469","54.897","42.050","48.340","56.181","54.009"
"381","25.557","39.492","51.477","54.916","42.061","48.345","56.189","54.024"
"382","25.583","39.515","51.499","54.927","42.080","48.367","56.204","54.039"
"383","25.609","39.533","51.525","54.953","42.102","48.382","56.230","54.062"
"384","25.621","39.548","51.537","54.961","42.121","48.404","56.249","54.080"
"385","25.604","39.593","51.585","55.016","42.162","48.445","56.290","54.118"
"386","25.586","39.620","51.600","55.027","42.185","48.464","56.305","54.143"
"387","25.568","39.635","51.611","55.035","42.196","48.479","56.320","54.155"
"388","25.617","39.654","51.637","55.058","42.215","48.494","56.342","54.170"
"389","25.628","39.662","51.656","55.083","42.234","48.521","56.372","54.207"
"390","25.666","39.695","51.674","55.102","42.256","48.546","56.386","54.211"
"391","25.685","39.699","51.693","55.124","42.268","48.558","56.402","54.237"
"392","25.689","39.722","51.712","55.139","42.290","48.580","56.420","54.252"
"393","25.686","39.748","51.730","55.162","42.301","48.588","56.435","54.267"
"394","25.735","39.771","51.764","55.192","42.288","48.615","56.202","53.850"
"395","25.751","39.768","51.660","54.038","40.817","47.912","54.525","52.371"
"396","25.777","39.761","51.141","52.739","40.085","47.122","53.205","51.423"
"397","25.781","39.733","50.500","51.733","39.740","46.590","52.347","50.795"
"398","25.797","39.682","49.886","50.962","39.507","46.221","51.756","50.327"
"399","25.804","39.621","49.332","50.317","39.322","45.913","51.302","49.916"
"400","25.823","39.552","48.829","49.771","39.159","45.638","50.905","49.568"
"401","25.846","39.462","48.383","49.279","38.992","45.378","50.563","49.235"
"402","25.880","39.360","47.967","48.837","38.843","45.132","50.246","48.939"
"403","25.922","39.172","47.225","48.052","38.556","44.654","49.632","48.360"
"404","25.944","39.074","46.881","47.682","38.408","44.423","49.332","48.085"
"405","25.956","38.977","46.563","47.342","38.259","44.199","49.054","47.828"
"406","25.968","38.875","46.248","47.013","38.132","43.975","48.782","47.575"
"407","25.979","38.767","45.944","46.691","37.994","43.747","48.500","47.322"
"408","25.987","38.669","45.654","46.394","37.853","43.534","48.247","47.076"
"409","26.006","38.571","45.376","46.097","37.729","43.331","47.990","46.830"
"410","26.007","38.470","45.101","45.815","37.599","43.114","47.740","46.598"
"411","26.019","38.376","44.841","45.533","37.472","42.908","47.480","46.371"
"412","26.034","38.173","44.320","44.994","37.207","42.496","46.984","45.897"
"413","26.039","38.064","44.081","44.726","37.091","42.297","46.746","45.676"
"414","26.039","37.973","43.839","44.477","36.968","42.109","46.518","45.448"
"415","26.025","37.861","43.607","44.238","36.848","41.914","46.276","45.224"
"416","26.007","37.752","43.376","43.999","36.736","41.741","46.062","45.025"
"417","26.038","37.669","43.170","43.779","36.635","41.564","45.853","44.827"
"418","26.068","37.586","42.964","43.551","36.529","41.383","45.632","44.624"
"419","26.075","37.481","42.747","43.338","36.417","41.217","45.422","44.425"
"420","26.091","37.390","42.541","43.113","36.312","41.043","45.205","44.223"
"421","26.081","37.206","42.143","42.694","36.109","40.715","44.797","43.836"
"422","26.111","37.115","41.959","42.502","36.011","40.559","44.598","43.652"
"423","26.123","37.025","41.774","42.300","35.921","40.397","44.399","43.471"
"424","26.134","36.934","41.586","42.105","35.816","40.245","44.201","43.287"
"425","26.131","36.844","41.406","41.913","35.722","40.097","44.009","43.095"
"426","26.124","36.753","41.225","41.725","35.624","39.945","43.814","42.922"
"427","26.140","36.663","41.052","41.548","35.537","39.796","43.633","42.752"
"428","26.162","36.576","40.878","41.360","35.443","39.651","43.449","42.571"
"429","26.185","36.486","40.716","41.183","35.356","39.506","43.261","42.394"
"430","26.179","36.319","40.383","40.847","35.179","39.223","42.903","42.051"
"431","26.150","36.225","40.221","40.667","35.096","39.082","42.719","41.889"
"432","26.136","36.149","40.066","40.501","35.009","38.944","42.545","41.730"
"433","26.151","36.062","39.917","40.349","34.918","38.820","42.379","41.560"
"434","26.181","35.979","39.761","40.194","34.843","38.686","42.195","41.397"
"435","26.164","35.892","39.616","40.027","34.756","38.545","42.029","41.242"
"436","26.124","35.809","39.464","39.879","34.680","38.418","41.866","41.083"
"437","26.165","35.730","39.322","39.719","34.593","38.291","41.700","40.935"
"438","26.195","35.654","39.181","39.578","34.524","38.175","41.552","40.791"
"439","26.170","35.502","38.919","39.291","34.380","37.932","41.234","40.498"
"440","26.190","35.426","38.782","39.161","34.311","37.820","41.086","40.350"
"441","26.212","35.350","38.648","39.027","34.232","37.700","40.931","40.217"
"442","26.253","35.278","38.528","38.889","34.163","37.588","40.790","40.069"
"443","26.254","35.199","38.401","38.754","34.091","37.479","40.639","39.928"
"444","26.247","35.123","38.274","38.624","34.026","37.356","40.487","39.782"
"445","26.255","35.050","38.147","38.486","33.954","37.251","40.350","39.652"
"446","26.248","34.982","38.028","38.370","33.889","37.149","40.205","39.518"
"447","26.242","34.910","37.915","38.247","33.820","37.045","40.068","39.387"
"448","26.261","34.783","37.687","38.004","33.697","36.838","39.789","39.126"
"449","26.258","34.700","37.560","37.877","33.625","36.722","39.651","38.996"
"450","26.270","34.639","37.459","37.768","33.564","36.628","39.517","38.865"
"451","26.274","34.574","37.346","37.660","33.503","36.530","39.386","38.749"
"452","26.278","34.501","37.241","37.540","33.445","36.443","39.260","38.626"
"453","26.294","34.447","37.140","37.424","33.391","36.349","39.140","38.499"
"454","26.294","34.379","37.031","37.319","33.329","36.248","39.006","38.383"
"455","26.291","34.310","36.922","37.207","33.265","36.150","38.879","38.263"
"456","26.288","34.238","36.828","37.105","33.207","36.060","38.759","38.140"
"457","26.278","34.119","36.625","36.891","33.095","35.875","38.516","37.926"
"458","26.279","34.050","36.524","36.797","33.041","35.795","38.400","37.799"
"459","26.276","33.996","36.430","36.689","32.980","35.705","38.277","37.694"
"460","26.291","33.938","36.336","36.587","32.933","35.625","38.165","37.582"
"461","26.288","33.870","36.238","36.489","32.875","35.546","38.052","37.473"
"462","26.292","33.812","36.147","36.395","32.821","35.452","37.936","37.364"
"463","26.289","33.758","36.061","36.290","32.767","35.372","37.824","37.256"
"464","26.279","33.693","35.970","36.200","32.709","35.278","37.708","37.147"
"465","26.265","33.632","35.876","36.102","32.655","35.198","37.603","37.035"
"466","26.281","33.527","35.706","35.917","32.551","35.043","37.386","36.843"
"467","26.292","33.477","35.626","35.845","32.519","34.982","37.295","36.756"
"468","26.282","33.423","35.547","35.755","32.468","34.895","37.179","36.647"
"469","26.272","33.358","35.460","35.668","32.414","34.819","37.074","36.546"
"470","26.279","33.311","35.380","35.584","32.367","34.750","36.976","36.455"
"471","26.295","33.250","35.297","35.497","32.317","34.670","36.878","36.357"
"472","26.295","33.206","35.221","35.414","32.270","34.598","36.777","36.260"
"473","26.281","33.142","35.134","35.328","32.220","34.522","36.665","36.165"
"474","26.278","33.091","35.055","35.244","32.169","34.443","36.567","36.068"
"475","26.283","32.990","34.903","35.089","32.087","34.316","36.393","35.894"
"476","26.287","32.940","34.831","35.006","32.044","34.244","36.299","35.811"
"477","26.288","32.897","34.758","34.937","32.004","34.175","36.212","35.720"
"478","26.288","32.839","34.686","34.868","31.961","34.111","36.122","35.633"
"479","26.271","32.792","34.614","34.782","31.911","34.038","36.017","35.547"
"480","26.264","32.738","34.534","34.706","31.864","33.980","35.941","35.467"
"481","26.261","32.702","34.473","34.633","31.821","33.905","35.846","35.376"
"482","26.254","32.652","34.408","34.561","31.781","33.847","35.752","35.293"
"483","26.247","32.598","34.328","34.489","31.738","33.775","35.669","35.214"
"484","26.260","32.512","34.202","34.348","31.655","33.656","35.503","35.051"
"485","26.256","32.461","34.141","34.279","31.612","33.598","35.416","34.968"
"486","26.257","32.422","34.065","34.207","31.580","33.529","35.340","34.895"
"487","26.265","32.382","34.011","34.146","31.544","33.483","35.264","34.827"
"488","26.273","32.339","33.949","34.084","31.508","33.414","35.174","34.744"
"489","26.222","32.281","33.877","34.001","31.458","33.345","35.083","34.650"
"490","26.189","32.231","33.805","33.929","31.411","33.277","35.000","34.570"
"491","26.194","32.188","33.736","33.864","31.368","33.222","34.931","34.501"
"492","26.194","32.148","33.678","33.802","31.332","33.172","34.852","34.440"
"493","26.229","32.066","33.563","33.680","31.261","33.053","34.703","34.292"
"494","26.244","32.022","33.498","33.615","31.225","33.006","34.627","34.212"
"495","26.256","31.979","33.451","33.564","31.192","32.945","34.548","34.140"
"496","26.175","31.947","33.394","33.503","31.146","32.898","34.483","34.082"
"497","26.143","31.911","33.336","33.434","31.110","32.840","34.411","34.003"
"498","26.117","31.853","33.267","33.380","31.077","32.775","34.331","33.945"
"499","26.118","31.814","33.213","33.319","31.045","32.732","34.262","33.876"
"500","26.159","31.793","33.159","33.268","31.013","32.689","34.197","33.811"
"501","26.185","31.753","33.116","33.214","30.974","32.628","34.132","33.742"
"502","26.220","31.674","33.004","33.088","30.909","32.527","33.999","33.612"
"503","26.161","31.635","32.946","33.045","30.870","32.484","33.934","33.555"
"504","26.169","31.603","32.892","32.987","30.841","32.430","33.869","33.497"
"505","26.214","31.556","32.842","32.926","30.802","32.376","33.785","33.421"
"506","26.229","31.516","32.784","32.872","30.766","32.322","33.728","33.360"
"507","26.230","31.488","32.741","32.817","30.726","32.278","33.663","33.306"
"508","26.227","31.448","32.683","32.760","30.694","32.235","33.601","33.237"
"509","26.194","31.405","32.629","32.706","30.665","32.170","33.533","33.183"
"510","26.173","31.377","32.590","32.666","30.641","32.138","33.486","33.125"
"511","26.152","31.308","32.492","32.565","30.580","32.041","33.360","33.003"
"512","26.163","31.280","32.446","32.515","30.547","32.005","33.295","32.956"
"513","26.135","31.237","32.388","32.461","30.512","31.954","33.233","32.887"
"514","26.150","31.205","32.349","32.418","30.483","31.904","33.176","32.826"
"515","26.173","31.165","32.291","32.360","30.451","31.861","33.110","32.772"
"516","26.199","31.129","32.244","32.306","30.419","31.810","33.064","32.721"
"517","26.222","31.097","32.201","32.255","30.376","31.767","32.999","32.660"
"518","26.222","31.057","32.154","32.216","30.354","31.728","32.937","32.598"
"519","26.219","31.025","32.096","32.158","30.318","31.677","32.887","32.548"
"520","26.216","30.968","32.024","32.079","30.268","31.595","32.779","32.454"
"521","26.232","30.936","31.981","32.025","30.236","31.562","32.725","32.397"
"522","26.210","30.896","31.931","31.982","30.208","31.512","32.660","32.339"
"523","26.222","30.868","31.891","31.935","30.186","31.480","32.620","32.299"
"524","26.223","30.843","31.859","31.910","30.161","31.437","32.566","32.249"
"525","26.227","30.814","31.820","31.860","30.133","31.408","32.519","32.202"
"526","26.224","30.785","31.776","31.817","30.104","31.372","32.476","32.155"
"527","26.224","30.768","31.748","31.784","30.090","31.333","32.429","32.120"
"528","26.195","30.736","31.701","31.741","30.069","31.304","32.382","32.065"
"529","26.134","30.671","31.618","31.651","30.004","31.214","32.271","31.975"
"530","26.123","30.632","31.575","31.597","29.972","31.171","32.220","31.914"
"531","26.102","30.599","31.532","31.569","29.947","31.139","32.166","31.871"
"532","26.073","30.574","31.489","31.518","29.918","31.095","32.116","31.817"
"533","26.044","30.539","31.457","31.482","29.889","31.060","32.076","31.781"
"534","26.074","30.521","31.414","31.446","29.864","31.016","32.022","31.727"
"535","26.086","30.492","31.381","31.400","29.842","30.988","31.983","31.695"
"536","26.086","30.460","31.353","31.367","29.817","30.963","31.939","31.651"
"537","26.083","30.439","31.310","31.331","29.799","30.923","31.900","31.608"
"538","26.073","30.393","31.256","31.263","29.749","30.855","31.802","31.518"
"539","26.066","30.360","31.202","31.220","29.720","30.816","31.759","31.486"
"540","26.063","30.332","31.170","31.184","29.698","30.780","31.716","31.443"
"541","26.056","30.303","31.130","31.148","29.677","30.751","31.673","31.396"
"542","26.061","30.278","31.098","31.105","29.652","30.719","31.630","31.360"
"543","26.039","30.257","31.058","31.076","29.630","30.683","31.590","31.324"
"544","26.040","30.228","31.033","31.041","29.605","30.654","31.551","31.281"
"545","26.040","30.207","31.005","31.008","29.587","30.622","31.511","31.234"
"546","26.044","30.182","30.958","30.976","29.551","30.583","31.468","31.198"
"547","26.053","30.121","30.890","30.901","29.508","30.525","31.393","31.116"
"548","26.057","30.103","30.858","30.861","29.483","30.490","31.338","31.080"
"549","26.043","30.071","30.818","30.822","29.450","30.450","31.303","31.033"
"550","26.044","30.050","30.789","30.789","29.425","30.421","31.267","30.997"
"551","26.051","30.014","30.746","30.754","29.414","30.396","31.213","30.961"
"552","26.037","29.996","30.718","30.714","29.385","30.361","31.180","30.922"
"553","25.979","29.975","30.696","30.689","29.371","30.332","31.141","30.889"
"554","25.972","29.949","30.660","30.653","29.342","30.303","31.101","30.850"
"555","25.976","29.932","30.635","30.625","29.321","30.271","31.069","30.818"
"556","25.981","29.881","30.574","30.567","29.285","30.214","30.997","30.746"
"557","25.989","29.860","30.546","30.531","29.271","30.196","30.965","30.714"
"558","25.975","29.838","30.514","30.503","29.246","30.160","30.918","30.674"
"559","25.979","29.813","30.481","30.474","29.228","30.143","30.897","30.653"
"560","25.972","29.788","30.456","30.442","29.199","30.099","30.850","30.613"
"561","25.988","29.762","30.428","30.413","29.185","30.078","30.814","30.570"
"562","25.984","29.737","30.392","30.374","29.160","30.053","30.778","30.538"
"563","26.000","29.719","30.367","30.352","29.138","30.014","30.742","30.505"
"564","25.985","29.701","30.331","30.306","29.113","29.988","30.710","30.469"
"565","25.987","29.647","30.274","30.259","29.070","29.938","30.638","30.401"
"566","26.002","29.637","30.249","30.227","29.056","29.917","30.613","30.380"
"567","26.024","29.615","30.231","30.198","29.041","29.895","30.577","30.348"
"568","26.017","29.586","30.188","30.170","29.012","29.862","30.541","30.312"
"569","26.033","29.565","30.178","30.138","28.998","29.830","30.498","30.280"
"570","26.030","29.540","30.142","30.113","28.980","29.805","30.481","30.258"
"571","26.008","29.529","30.117","30.102","28.959","29.783","30.452","30.226"
"572","26.012","29.508","30.088","30.063","28.937","29.754","30.405","30.183"
"573","26.028","29.482","30.059","30.027","28.908","29.725","30.365","30.154"
"574","25.995","29.428","29.999","29.965","28.873","29.667","30.305","30.090"
"575","25.967","29.407","29.973","29.948","28.851","29.653","30.276","30.065"
"576","25.982","29.400","29.941","29.915","28.837","29.621","30.244","30.032"
"577","25.979","29.378","29.927","29.893","28.819","29.592","30.215","29.993"
"578","25.976","29.357","29.898","29.861","28.798","29.574","30.186","29.971"
"579","25.965","29.328","29.872","29.836","28.783","29.549","30.158","29.942"
"580","25.980","29.314","29.843","29.807","28.762","29.520","30.126","29.917"
"581","25.977","29.299","29.829","29.789","28.740","29.498","30.097","29.884"
"582","25.963","29.271","29.797","29.760","28.719","29.473","30.061","29.848"
"583","25.979","29.238","29.743","29.706","28.683","29.419","30.007","29.787"
"584","25.979","29.213","29.710","29.677","28.669","29.401","29.971","29.776"
"585","25.976","29.199","29.699","29.659","28.658","29.383","29.950","29.751"
"586","25.984","29.181","29.674","29.637","28.640","29.369","29.917","29.715"
"587","25.966","29.160","29.649","29.609","28.619","29.336","29.899","29.686"
"588","25.941","29.134","29.613","29.580","28.590","29.304","29.863","29.653"
"589","25.930","29.116","29.602","29.558","28.576","29.297","29.838","29.635"
"590","25.934","29.102","29.581","29.533","28.569","29.268","29.812","29.614"
"591","25.931","29.088","29.559","29.508","28.551","29.243","29.780","29.581"
"592","25.921","29.045","29.512","29.457","28.512","29.203","29.729","29.531"
"593","25.937","29.023","29.487","29.436","28.497","29.174","29.700","29.509"
"594","25.919","29.013","29.465","29.418","28.483","29.153","29.675","29.469"
"595","25.937","28.988","29.437","29.389","28.454","29.131","29.643","29.440"
"596","25.953","28.973","29.411","29.363","28.436","29.113","29.621","29.426"
"597","25.942","28.952","29.397","29.342","28.433","29.088","29.592","29.404"
"598","25.932","28.934","29.375","29.324","28.404","29.074","29.567","29.372"
"599","25.914","28.920","29.354","29.288","28.394","29.048","29.541","29.343"
"600","25.918","28.894","29.325","29.277","28.379","29.027","29.516","29.321"
"601","25.897","28.862","29.285","29.238","28.351","28.987","29.466","29.278"
"602","25.916","28.841","29.271","29.209","28.326","28.970","29.433","29.245"
"603","25.898","28.830","29.242","29.183","28.315","28.944","29.415","29.224"
"604","25.902","28.812","29.224","29.162","28.301","28.923","29.386","29.199"
"605","25.869","28.794","29.199","29.148","28.279","28.908","29.368","29.177"
"606","25.866","28.773","29.185","29.126","28.265","28.891","29.347","29.159"
"607","25.848","28.770","29.171","29.116","28.258","28.876","29.322","29.141"
"608","25.834","28.744","29.146","29.087","28.240","28.847","29.300","29.116"
"609","25.824","28.730","29.120","29.058","28.226","28.833","29.267","29.091"
"610","25.828","28.705","29.092","29.026","28.198","28.801","29.235","29.048"
"611","25.821","28.684","29.063","29.000","28.184","28.772","29.214","29.030"
"612","25.807","28.677","29.060","28.990","28.177","28.769","29.196","29.019"
"613","25.797","28.663","29.042","28.983","28.170","28.755","29.174","28.994"
"614","25.801","28.649","29.009","28.947","28.137","28.730","29.153","28.965"
"615","25.809","28.631","28.999","28.929","28.134","28.712","29.131","28.947"
"616","25.816","28.609","28.977","28.914","28.112","28.690","29.109","28.929"
"617","25.802","28.595","28.963","28.893","28.102","28.672","29.080","28.908"
"618","25.781","28.577","28.934","28.864","28.084","28.650","29.052","28.875"
"619","25.749","28.537","28.891","28.817","28.044","28.600","28.994","28.824"
"620","25.767","28.523","28.873","28.810","28.041","28.586","28.983","28.806"
"621","25.764","28.513","28.851","28.785","28.020","28.564","28.958","28.792"
"622","25.746","28.491","28.830","28.767","28.002","28.554","28.936","28.767"
"623","25.732","28.469","28.812","28.734","27.984","28.528","28.915","28.742"
"624","25.707","28.459","28.797","28.720","27.970","28.510","28.889","28.716"
"625","25.678","28.448","28.768","28.698","27.959","28.496","28.871","28.706"
"626","25.675","28.423","28.750","28.684","27.941","28.478","28.842","28.684"
"627","25.723","28.413","28.736","28.666","27.927","28.453","28.836","28.666"
"628","25.691","28.391","28.711","28.638","27.906","28.428","28.785","28.623"
"629","25.699","28.370","28.686","28.609","27.888","28.410","28.767","28.605"
"630","25.710","28.359","28.676","28.595","27.881","28.385","28.753","28.591"
"631","25.711","28.341","28.654","28.580","27.863","28.378","28.735","28.562"
"632","25.685","28.320","28.636","28.563","27.849","28.360","28.713","28.552"
"633","25.667","28.320","28.618","28.548","27.838","28.342","28.692","28.537"
"634","25.679","28.302","28.604","28.530","27.831","28.328","28.670","28.512"
"635","25.713","28.288","28.582","28.509","27.806","28.306","28.649","28.490"
"636","25.713","28.278","28.568","28.491","27.799","28.292","28.634","28.473"
"637","25.718","28.242","28.532","28.455","27.763","28.256","28.591","28.429"
"638","25.703","28.216","28.503","28.422","27.745","28.235","28.566","28.411"
"639","25.686","28.206","28.493","28.416","27.739","28.224","28.544","28.390"
"640","25.701","28.192","28.482","28.398","27.728","28.214","28.537","28.372"
"641","25.727","28.188","28.461","28.391","27.714","28.199","28.516","28.365"
"642","25.735","28.174","28.450","28.369","27.707","28.185","28.498","28.325"
"643","25.698","28.167","28.440","28.355","27.682","28.167","28.480","28.311"
"644","25.662","28.135","28.410","28.326","27.664","28.138","28.455","28.296"
"645","25.677","28.117","28.389","28.312","27.653","28.131","28.440","28.282"
"646","25.641","28.099","28.368","28.279","27.632","28.099","28.405","28.257"
"647","25.605","28.092","28.354","28.269","27.629","28.085","28.387","28.236"
"648","25.591","28.078","28.336","28.247","27.607","28.067","28.369","28.225"
"649","25.595","28.068","28.321","28.237","27.597","28.053","28.358","28.204"
"650","25.588","28.057","28.318","28.234","27.597","28.042","28.340","28.193"
"651","25.567","28.039","28.297","28.205","27.579","28.028","28.322","28.175"
"652","25.563","28.028","28.286","28.190","27.568","28.017","28.308","28.157"
"653","25.556","28.014","28.268","28.176","27.558","28.003","28.290","28.143"
"654","25.571","28.004","28.254","28.162","27.544","27.992","28.276","28.121"
"655","25.558","27.979","28.214","28.126","27.511","27.946","28.218","28.082"
"656","25.551","27.953","28.196","28.112","27.501","27.939","28.218","28.071"
"657","25.551","27.950","28.189","28.094","27.487","27.924","28.200","28.050"
"658","25.530","27.932","28.164","28.083","27.480","27.914","28.175","28.039"
"659","25.508","27.914","28.150","28.062","27.465","27.896","28.161","28.017"
"660","25.501","27.911","28.139","28.051","27.451","27.882","28.143","27.992"
"661","25.505","27.886","28.121","28.026","27.433","27.864","28.129","27.978"
"662","25.531","27.882","28.118","28.022","27.430","27.853","28.118","27.978"
"663","25.506","27.883","28.100","28.008","27.419","27.850","28.104","27.968"
"664","25.481","27.851","28.064","27.980","27.398","27.821","28.075","27.924"
"665","25.489","27.855","28.068","27.969","27.391","27.807","28.065","27.921"
"666","25.504","27.833","28.050","27.944","27.370","27.789","28.047","27.907"
"667","25.527","27.804","28.036","27.944","27.367","27.775","28.025","27.882"
"668","25.516","27.812","28.022","27.926","27.360","27.768","28.014","27.875"
"669","25.509","27.798","28.011","27.923","27.353","27.757","28.000","27.860"
"670","25.477","27.780","27.993","27.898","27.342","27.743","27.982","27.853"
"671","25.481","27.777","27.983","27.894","27.328","27.725","27.968","27.828"
"672","25.470","27.773","27.968","27.880","27.321","27.715","27.957","27.825"
"673","25.519","27.730","27.940","27.844","27.289","27.679","27.925","27.782"
"674","25.538","27.727","27.933","27.826","27.278","27.683","27.907","27.760"
"675","25.520","27.713","27.926","27.816","27.267","27.665","27.889","27.760"
"676","25.539","27.709","27.904","27.809","27.260","27.650","27.882","27.750"
"677","25.550","27.695","27.894","27.787","27.250","27.640","27.864","27.732"
"678","25.576","27.696","27.879","27.788","27.239","27.626","27.846","27.718"
"679","25.555","27.667","27.862","27.759","27.229","27.608","27.836","27.700"
"680","25.548","27.663","27.847","27.748","27.211","27.597","27.818","27.693"
"681","25.541","27.649","27.840","27.737","27.204","27.576","27.800","27.675"
"682","25.461","27.620","27.808","27.705","27.179","27.562","27.771","27.635"
"683","25.465","27.603","27.790","27.695","27.165","27.536","27.761","27.625"
"684","25.451","27.603","27.783","27.684","27.158","27.529","27.739","27.614"
"685","25.440","27.581","27.765","27.662","27.144","27.522","27.725","27.592"
"686","25.462","27.571","27.747","27.637","27.129","27.504","27.703","27.582"
"687","25.459","27.564","27.740","27.645","27.122","27.490","27.682","27.546"
"688","25.441","27.564","27.730","27.630","27.108","27.476","27.675","27.544"
"689","25.442","27.543","27.715","27.612","27.105","27.465","27.668","27.543"
"690","25.424","27.528","27.694","27.602","27.083","27.440","27.646","27.517"
"691","25.454","27.496","27.669","27.573","27.062","27.426","27.628","27.496"
"692","25.443","27.489","27.662","27.555","27.059","27.412","27.614","27.489"
"693","25.403","27.490","27.655","27.552","27.048","27.405","27.604","27.475"
"694","25.389","27.479","27.637","27.534","27.034","27.387","27.582","27.464"
"695","25.404","27.457","27.630","27.520","27.027","27.376","27.575","27.450"
"696","25.408","27.454","27.619","27.509","27.016","27.366","27.557","27.432"
"697","25.431","27.451","27.605","27.510","27.013","27.359","27.554","27.429"
"698","25.439","27.433","27.598","27.488","26.999","27.345","27.540","27.422"
"699","25.432","27.437","27.588","27.481","26.999","27.345","27.522","27.407"
"700","25.385","27.397","27.563","27.460","26.974","27.320","27.497","27.368"
"701","25.389","27.394","27.549","27.442","26.964","27.306","27.482","27.365"
"702","25.386","27.383","27.531","27.424","26.946","27.291","27.472","27.350"
"703","25.364","27.365","27.516","27.410","26.935","27.277","27.457","27.343"
"704","25.357","27.362","27.506","27.403","26.932","27.270","27.447","27.325"
"705","25.354","27.352","27.506","27.388","26.921","27.256","27.432","27.315"
"706","25.343","27.337","27.484","27.381","26.914","27.253","27.425","27.300"
"707","25.358","27.338","27.481","27.371","26.903","27.246","27.418","27.301"
"708","25.336","27.323","27.474","27.360","26.896","27.228","27.404","27.279"
"709","25.352","27.302","27.449","27.343","26.879","27.206","27.376","27.265"
"710","25.345","27.295","27.439","27.332","26.872","27.199","27.372","27.251"
"711","25.331","27.284","27.417","27.321","26.858","27.178","27.354","27.233"
"712","25.320","27.278","27.417","27.303","26.847","27.178","27.344","27.226"
"713","25.298","27.267","27.396","27.285","26.829","27.168","27.322","27.204"
"714","25.277","27.245","27.385","27.278","26.829","27.150","27.311","27.197"
"715","25.292","27.246","27.382","27.271","26.819","27.150","27.316","27.201"
"716","25.278","27.250","27.375","27.268","26.823","27.139","27.298","27.180"
"717","25.285","27.232","27.364","27.250","26.809","27.129","27.283","27.162"
"718","25.260","27.218","27.347","27.236","26.791","27.111","27.262","27.152"
"719","25.287","27.211","27.332","27.222","26.780","27.104","27.251","27.137"
"720","25.280","27.193","27.318","27.200","26.762","27.071","27.233","27.108"
"721","25.280","27.175","27.307","27.193","26.759","27.065","27.215","27.098"
"722","25.295","27.164","27.293","27.186","26.745","27.061","27.212","27.098"
"723","25.314","27.154","27.279","27.161","26.727","27.036","27.187","27.069"
"724","25.270","27.147","27.270","27.154","26.722","27.033","27.184","27.070"
"725","25.271","27.140","27.261","27.147","26.717","27.029","27.180","27.070"
"726","25.275","27.129","27.254","27.140","26.710","27.015","27.173","27.055"
"727","25.257","27.119","27.240","27.126","26.692","27.001","27.141","27.038"
"728","25.250","27.112","27.222","27.112","26.685","26.994","27.138","27.031"
"729","25.236","27.105","27.219","27.105","26.685","26.984","27.131","27.017"
"730","25.273","27.091","27.208","27.102","26.660","26.969","27.113","27.002"
"731","25.299","27.087","27.198","27.084","26.657","26.962","27.102","26.992"
"732","25.289","27.077","27.183","27.077","26.657","26.959","27.091","26.992"
"733","25.263","27.070","27.176","27.062","26.647","26.945","27.085","26.981"
"734","25.227","27.063","27.173","27.059","26.643","26.938","27.070","26.963"
"735","25.231","27.045","27.155","27.048","26.625","26.923","27.067","26.956"
"736","25.261","27.016","27.127","27.012","26.604","26.898","27.038","26.924"
"737","25.269","27.024","27.127","27.009","26.608","26.888","27.031","26.921"
"738","25.255","27.010","27.113","27.002","26.590","26.884","27.013","26.907"
"739","25.244","26.999","27.106","26.988","26.583","26.877","27.010","26.900"
"740","25.237","26.992","27.091","26.981","26.572","26.863","26.999","26.893"
"741","25.237","26.992","27.084","26.963","26.569","26.860","26.989","26.882"
"742","25.238","26.978","27.081","26.967","26.558","26.849","26.978","26.868"
"743","25.216","26.960","27.070","26.953","26.555","26.842","26.967","26.857"
"744","25.224","26.957","27.056","26.949","26.537","26.832","26.953","26.854"
"745","25.206","26.935","27.035","26.917","26.523","26.803","26.943","26.832"
"746","25.221","26.932","27.028","26.917","26.520","26.807","26.928","26.825"
"747","25.188","26.929","27.021","26.899","26.513","26.793","26.921","26.818"
"748","25.156","26.918","27.017","26.896","26.502","26.786","26.907","26.804"
"749","25.175","26.908","27.007","26.885","26.492","26.779","26.904","26.794"
"750","25.145","26.904","27.000","26.878","26.488","26.768","26.897","26.794"
"751","25.142","26.897","26.989","26.875","26.478","26.761","26.883","26.783"
"752","25.143","26.894","26.986","26.868","26.482","26.750","26.879","26.772"
