,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"91","20.439","28.883","39.682","43.008","32.195","37.004","43.004","41.119"
"92","20.451","28.950","39.777","43.095","32.254","37.081","43.106","41.210"
"93","20.462","29.020","39.862","43.187","32.313","37.169","43.216","41.320"
"94","20.478","29.098","39.949","43.282","32.371","37.246","43.311","41.418"
"95","20.486","29.161","40.041","43.373","32.434","37.323","43.409","41.513"
"96","20.497","29.228","40.132","43.453","32.493","37.408","43.515","41.612"
"97","20.532","29.362","40.293","43.625","32.607","37.569","43.716","41.809"
"98","20.543","29.421","40.377","43.709","32.662","37.639","43.807","41.900"
"99","20.548","29.488","40.450","43.797","32.714","37.723","43.920","41.998"
"100","20.567","29.559","40.541","43.881","32.787","37.804","44.018","42.100"
"101","20.597","29.629","40.625","43.968","32.832","37.878","44.110","42.181"
"102","20.586","29.674","40.702","44.038","32.880","37.947","44.201","42.279"
"103","20.605","29.744","40.779","44.122","32.935","38.021","44.292","42.367"
"104","20.620","29.804","40.852","44.187","32.987","38.094","44.387","42.458"
"105","20.628","29.867","40.921","44.275","33.045","38.157","44.471","42.538"
"106","20.641","29.994","41.082","44.436","33.152","38.315","44.653","42.721"
"107","20.649","30.053","41.152","44.513","33.204","38.385","44.748","42.809"
"108","20.671","30.111","41.225","44.586","33.267","38.455","44.840","42.889"
"109","20.709","30.178","41.298","44.659","33.318","38.524","44.923","42.973"
"110","20.724","30.229","41.375","44.736","33.359","38.591","45.007","43.050"
"111","20.751","30.292","41.448","44.812","33.414","38.653","45.095","43.137"
"112","20.755","30.347","41.521","44.878","33.458","38.723","45.190","43.221"
"113","20.763","30.395","41.587","44.951","33.517","38.789","45.274","43.302"
"114","20.800","30.461","41.656","45.024","33.573","38.855","45.354","43.386"
"115","20.827","30.583","41.799","45.182","33.679","39.006","45.530","43.554"
"116","20.843","30.638","41.868","45.244","33.728","39.058","45.606","43.634"
"117","20.851","30.693","41.931","45.306","33.768","39.116","45.687","43.711"
"118","20.851","30.745","42.007","45.376","33.823","39.194","45.774","43.788"
"119","20.867","30.800","42.073","45.449","33.871","39.253","45.844","43.861"
"120","20.893","30.848","42.128","45.515","33.905","39.311","45.924","43.930"
"121","20.905","30.903","42.194","45.577","33.956","39.378","46.008","44.011"
"122","20.935","30.962","42.260","45.646","34.012","39.440","46.085","44.084"
"123","20.950","31.014","42.322","45.716","34.063","39.503","46.169","44.168"
"124","20.988","31.128","42.461","45.844","34.156","39.624","46.315","44.310"
"125","21.000","31.176","42.524","45.906","34.204","39.694","46.385","44.383"
"126","21.022","31.231","42.586","45.965","34.244","39.738","46.454","44.449"
"127","21.030","31.276","42.637","46.038","34.300","39.805","46.531","44.519"
"128","21.057","31.338","42.707","46.100","34.351","39.871","46.612","44.603"
"129","21.076","31.386","42.765","46.152","34.388","39.908","46.674","44.651"
"130","21.091","31.427","42.817","46.214","34.429","39.963","46.747","44.720"
"131","21.096","31.490","42.879","46.273","34.470","40.029","46.816","44.793"
"132","21.111","31.523","42.930","46.335","34.514","40.088","46.886","44.859"
"133","21.142","31.630","43.055","46.452","34.610","40.198","47.029","44.995"
"134","21.161","31.681","43.110","46.511","34.662","40.257","47.102","45.060"
"135","21.176","31.733","43.172","46.573","34.702","40.315","47.160","45.134"
"136","21.191","31.770","43.216","46.628","34.736","40.356","47.223","45.185"
"137","21.214","31.807","43.275","46.676","34.777","40.403","47.281","45.244"
"138","21.237","31.855","43.323","46.723","34.810","40.448","47.340","45.295"
"139","21.256","31.900","43.367","46.775","34.847","40.503","47.413","45.365"
"140","21.256","31.944","43.429","46.837","34.899","40.558","47.479","45.430"
"141","21.279","31.996","43.491","46.896","34.932","40.616","47.548","45.493"
"142","21.295","32.099","43.598","47.002","35.028","40.719","47.676","45.617"
"143","21.307","32.136","43.646","47.064","35.061","40.763","47.735","45.676"
