Frequency [Mhz], Amplitude [dBm]
2400.014404,-122.656
2400.014648,-122.656
2400.014893,-122.156
2400.015137,-121.469
2400.015381,-122.656
2400.015381,-121.156
2400.015625,-122.156
2400.015869,-121.656
2400.016113,-120.156
2400.016357,-122.156
2400.016602,-124.156
2400.016846,-122.656
2400.017090,-123.656
2400.017090,-120.156
2400.017334,-122.156
2400.017578,-120.469
2400.017822,-119.969
2400.018066,-123.656
2400.018311,-118.469
2400.018799,-123.656
2400.019043,-123.656
2400.019043,-121.656
2400.019287,-122.656
2400.019531,-124.156
2400.019775,-119.656
2400.020020,-117.156
2400.020264,-124.156
2400.020508,-120.469
2400.020508,-124.156
2400.020752,-121.156
2400.020996,-119.156
2400.021240,-123.156
2400.021484,-124.156
2400.021729,-122.656
2400.021973,-123.656
2400.022217,-120.156
2400.022217,-120.656
2400.022461,-121.656
2400.022705,-119.156
2400.022949,-122.656
2400.023193,-122.656
2400.023438,-122.656
2400.023926,-124.156
2400.024170,-123.156
2400.024170,-122.656
2400.024414,-121.156
2400.024658,-123.156
2400.024902,-121.156
2400.025146,-124.156
2400.025391,-123.156
2400.025635,-122.156
2400.025635,-120.469
2400.025879,-124.156
2400.026123,-123.656
2400.026367,-123.156
2400.026611,-122.656
2400.026855,-121.156
2400.027100,-122.156
2400.027344,-120.656
2400.027344,-122.656
2400.027588,-124.156
2400.027832,-122.656
2400.028076,-118.969
2400.028320,-122.156
2400.028564,-119.156
2400.028809,-122.656
2400.029297,-120.656
2400.029297,-123.156
2400.029541,-122.656
2400.029785,-123.156
2400.030029,-123.156
2400.030273,-123.656
2400.030518,-120.156
2400.030762,-123.656
2400.030762,-118.656
2400.031006,-111.656
2400.031250,-107.156
2400.031494,-103.969
2400.031738,-102.156
2400.031982,-102.156
2400.032227,-102.656
2400.032471,-104.156
2400.032471,-107.469
2400.032715,-110.656
2400.032959,-117.156
2400.033203,-120.469
2400.033447,-121.156
2400.033691,-119.469
2400.033936,-124.156
2400.034424,-120.469
2400.034424,-121.656
2400.034668,-118.156
2400.034912,-119.156
2400.035156,-121.469
2400.035400,-123.656
2400.035645,-121.156
2400.035889,-123.656
2400.036133,-120.656
2400.036133,-118.469
2400.036377,-119.656
2400.036621,-121.156
2400.036865,-124.156
2400.037109,-122.156
2400.037354,-120.656
2400.037598,-123.656
2400.037598,-123.156
2400.037842,-119.969
2400.038086,-119.156
2400.038330,-123.656
2400.038574,-121.156
2400.038818,-121.156
2400.039063,-123.156
2400.039307,-120.469
2400.039307,-123.156
2400.039795,-124.156
2400.040039,-124.156
2400.040283,-119.656
2400.040527,-121.156
2400.040771,-122.156
2400.041016,-120.656
2400.041260,-123.156
2400.041260,-122.156
2400.041504,-121.156
2400.041748,-120.656
2400.041992,-122.156
2400.042236,-120.656
2400.042480,-122.156
2400.042725,-122.656
2400.042725,-122.156
2400.042969,-119.156
2400.043213,-123.656
2400.043457,-119.156
2400.043701,-123.156
2400.043945,-124.156
2400.044189,-121.156
2400.044434,-119.969
2400.044434,-118.656
2400.044922,-119.656
2400.045166,-120.969
2400.045410,-121.656
2400.045654,-118.156
2400.045898,-122.656
2400.046143,-123.156
2400.046387,-118.656
2400.046387,-121.156
2400.046631,-118.156
2400.046875,-123.656
2400.047119,-122.156
2400.047363,-123.656
2400.047607,-122.656
2400.047852,-120.656
2400.047852,-122.156
2400.048096,-119.969
2400.048340,-123.656
2400.048584,-123.156
2400.048828,-123.156
2400.049072,-120.156
2400.049316,-118.156
2400.049561,-120.469
2400.049561,-120.969
2400.049805,-123.156
